Lead Dates,Initial Referral Source,Anticipated Start,Month of Created Date,Primary State/Province,Primary City,Primary Zip/Postal Code,Inquired,Applied,Admitted,Confirmed ,Enrolled
Lead,CPPX,Fall 2017,Oct-16,Alabama,Birmingham,35215,2,0,0,0,0
Lead,CPPX,Fall 2017,Oct-16,Alabama,Brewton,36426,1,0,0,0,0
Lead,CPPX,Fall 2017,Oct-16,Arizona,Phoenix,85051,1,0,0,0,0
Lead,CPPX,Fall 2017,Oct-16,California,Bakersfield,93312,1,0,0,0,0
Lead,CPPX,Fall 2017,Oct-16,California,Baldwin Park,91706,1,0,0,0,0
Lead,CPPX,Fall 2017,Oct-16,California,Fresno,93705,1,0,0,0,0
Lead,CPPX,Fall 2017,Oct-16,California,Lawndale,90260,1,0,0,0,0
Lead,CPPX,Fall 2017,Oct-16,California,Menifee,92584,1,0,0,0,0
Lead,CPPX,Fall 2017,Oct-16,Connecticut,East Hartford,6118,1,0,0,0,0
Lead,CPPX,Fall 2017,Oct-16,Connecticut,Manchester,6040,1,0,0,0,0
Lead,CPPX,Fall 2017,Oct-16,Connecticut,Shelton,6484,1,0,0,0,0
Lead,CPPX,Fall 2017,Oct-16,Delaware,New Castle,19720,1,0,0,0,0
Lead,CPPX,Fall 2017,Oct-16,Florida,Boca Raton,33428,1,0,0,0,0
Lead,CPPX,Fall 2017,Oct-16,Florida,Debary,32753,1,0,0,0,0
Lead,CPPX,Fall 2017,Oct-16,Florida,Fleming Island,32003-7205,1,1,0,0,0
Lead,CPPX,Fall 2017,Oct-16,Florida,Jacksonville,32222,1,0,0,0,0
Lead,CPPX,Fall 2017,Oct-16,Florida,Miami,33135,1,0,0,0,0
Lead,CPPX,Fall 2017,Oct-16,Indiana,Indianapolis,46217,1,0,0,0,0
Lead,CPPX,Fall 2017,Oct-16,Kansas,Chanute,66720,1,0,0,0,0
Lead,CPPX,Fall 2017,Oct-16,Maine,Buxton,04093-3014,1,1,1,0,0
Lead,CPPX,Fall 2017,Oct-16,Maine,North Waterboro,04061-4942,1,1,1,0,0
Lead,CPPX,Fall 2017,Oct-16,Maine,Perkins Twp,04294-2000,1,1,1,0,0
Lead,CPPX,Fall 2017,Oct-16,Maine,Portland,4103,1,0,0,0,0
Lead,CPPX,Fall 2017,Oct-16,Maine,Waterford,4088,1,0,0,0,0
Lead,CPPX,Fall 2017,Oct-16,Massachusetts,Ashburnham,01430-1657,1,1,0,0,0
Lead,CPPX,Fall 2017,Oct-16,Massachusetts,Boston,2124,1,0,0,0,0
Lead,CPPX,Fall 2017,Oct-16,Massachusetts,Charlton,1507,1,0,0,0,0
Lead,CPPX,Fall 2017,Oct-16,Massachusetts,Melrose,2176,1,0,0,0,0
Lead,CPPX,Fall 2017,Oct-16,Massachusetts,Newton,2458,1,1,1,1,1
Lead,CPPX,Fall 2017,Oct-16,Massachusetts,Saugus,1906,1,1,1,0,0
Lead,CPPX,Fall 2017,Oct-16,Massachusetts,Southwick,1077,1,0,0,0,0
Lead,CPPX,Fall 2017,Oct-16,Massachusetts,Walpole,02081-1301,1,1,1,0,0
Lead,CPPX,Fall 2017,Oct-16,Massachusetts,West Roxbury,2132,1,0,0,0,0
Lead,CPPX,Fall 2017,Oct-16,Massachusetts,Wilmington,1887,1,0,0,0,0
Lead,CPPX,Fall 2017,Oct-16,Michigan,Copemish,49625,1,0,0,0,0
Lead,CPPX,Fall 2017,Oct-16,Mississippi,Laurel,39440,1,0,0,0,0
Lead,CPPX,Fall 2017,Oct-16,Nevada,Reno,89519,1,0,0,0,0
Lead,CPPX,Fall 2017,Oct-16,New Hampshire,Amherst,03031-3005,1,1,1,0,0
Lead,CPPX,Fall 2017,Oct-16,New Jersey,Dumont,7628,1,0,0,0,0
Lead,CPPX,Fall 2017,Oct-16,New Jersey,Hightstown,8520,1,0,0,0,0
Lead,CPPX,Fall 2017,Oct-16,New Jersey,Howell,7731,1,0,0,0,0
Lead,CPPX,Fall 2017,Oct-16,New Jersey,Oak Ridge,7438,1,0,0,0,0
Lead,CPPX,Fall 2017,Oct-16,New Mexico,Hobbs,88240,1,0,0,0,0
Lead,CPPX,Fall 2017,Oct-16,New York,East Meadow,11554,1,0,0,0,0
Lead,CPPX,Fall 2017,Oct-16,New York,Rochester,14625,1,0,0,0,0
Lead,CPPX,Fall 2017,Oct-16,North Carolina,Chocowinity,27817,1,0,0,0,0
Lead,CPPX,Fall 2017,Oct-16,Ohio,Springfield,45503,1,0,0,0,0
